えき,駅,eki
いえ,家,ie
ここ,此処,koko
うえ,上,ue
かお,顔,kao
あした,明日,ashita
すし,寿司,sushi
たかい,たかい,takai
ちかてつ,地下鉄,chikatetsu
そと,外,soto
あさ,朝,asa
ひと,人,hito
にく,肉,niku
はし,嘴|橋,hashi
さかな,魚,sakana
おかね,お金,okane
ふく,服,fuku
わたし,私,watashi
れきし,歴史,rekishi
ろく,6,roku
おわり,終わり,owari
かれ,彼,kare
さよなら,左様なら,sayonara
こんにちは,こんにちは,곤니찌와
ありがとうございます,ありがとうございます,아리가또-고자이마스
ごめんなさい,ごめんなさい,고멘나사이
マクドナルド,マクドナルド,마쿠도나루도
アイスコーヒー,アイスコーヒー,아이스코-히-
ゲーム,ゲーム,게-무
学校,学校,각꼬-
愛してる,愛してる,아이시테루
ゲームが好きです,ゲームが好きです,게-무가스키데스
エコ,エコ,eko
ココア,ココア,kokoa
キウイ,キウイ,kiui
カカオ,カカオ,kakao
ケア,ケア,kea
タスク,タスク,tasuku
アイス,アイス,aisu
テスト,テスト,tesuto
タイ,たい,tai
テキスト,テキスト,tekisuto
アクセス,アクセス,akusesu
ナイフ,ナイフ,naifu
カタカナ,カタカナ,katakana
ソフト,ソフト,soft
ホテル,ホテル,hoteru
テニス,テニス,tenisu
ネクタイ,ネクタイ,nekutai
アニメ,アニメ,anime
ハム,ハム,hamu
メモ,メモ,memo
スマホ,スマホ,sumaho
マイナス,マイナス,mainasu
トマト,トマト,tomato
キロ,キロ,kiro
トイレ,トイレ,toire
クラス,クラス,class
カメラ,カメラ,kamera
ミルク,ミルク,miruku
カラオケ,カラオケ,karaoke
チケット,チケット,chiketto
コップ,コップ,koppu
セット,セット,setto
ホット,ホット,hotto
ステップ,ステップ,suteppu
スイッチ,スイッチ,suicchi
コンビニ,コンビニ,konbini
カード,カード,ka-do
タクシー,タクシー,takushii
ヨーロッパ,ヨーロッパ,yo-roppa
コーヒー,コーヒー,ko-hi-
ハンバーガー,ハンバーガー,hanba-ga-
ごはん,ご飯,gohan
まんが,漫画,manga
じかん,時間,jikan
てんぷら,天ぷら,tenpura
アプリケーション,アプリケーション,apurike-shon
データベース,データベース,de-tabe-su
れんあい,恋愛,ren'ai
にほん,日本,nihon
おかあさん,お母さん,Okāsan
かんじ,漢字,kanji
エア,エア,ea
ぼうし,帽子,boushi
かいしゃいん,会社員,kaishain
ジュース,ジュース,ju-su
